title,authors,journal,year,type,url
"Cell type-specific contextualisation of the human phenome: towards the systematic treatment of all rare diseases","Schilder BM, Murphy KB, Dash H, Zhang Y, Gordon-Smith R, Chapman J, Otani M, Skene NG","medRxiv","2025","Preprint","https://doi.org/10.1101/2023.02.13.23285820"
"Decoding the regulatory genome with large-scale deep learning","Koo PK","Nature Reviews Genetics","2025","Journal Club","https://doi.org/10.1038/s41576-025-00914-2"
"CUT&Tag recovers up to half of ENCODE ChIP-seq histone acetylation peaks","Abbasova L, Urbanaviciute P, Hu D, Ismail JN, Schilder BM, Nott A, Skene NG, Marzi SJ","Nature Communications","2025","Article","https://doi.org/10.1038/s41467-025-58137-2"
"Interpreting cis-regulatory mechanisms from genomic deep neural networks using surrogate models","Seitz EE, McCandlish DM, Kinney JB, Koo PK","Nature Machine Intelligence","2024","Article","https://doi.org/10.1038/s42256-024-00851-5"
"Interpreting cis-regulatory interactions from large-scale deep neural networks for genomics","Toneyan S, Koo PK","Nature Genetics","2024","Article","https://doi.org/10.1038/s41588-024-01923-3"
"EvoAug: Improving generalization and interpretability of genomic deep neural networks with evolution-inspired data augmentations","Lee NK, Toneyan S, Tang Z, Koo PK","Genome Biology","2023","Article","https://doi.org/10.1186/s13059-023-02941-w"
"Uncertainty-aware genomic deep learning with knowledge distillation","Zhou JL, Rizzo K, Tang Z, Koo PK","bioRxiv","2024","Preprint","https://doi.org/10.1101/2024.11.13.623486"
"Evaluating the representational power of pre-trained DNA language models for regulatory genomics","Tang Z, Somia N, Kang Y, Koo PK","bioRxiv","2024","Preprint","https://doi.org/10.1101/2024.02.29.582810"
"echolocatoR: An automated end-to-end statistical and functional genomic fine-mapping pipeline","Schilder BM, Humphrey J, Raj T","Bioinformatics","2022","Article","https://doi.org/10.1093/bioinformatics/btab658"
"MungeSumstats: a Bioconductor package for the standardization and quality control of many GWAS summary statistics","Murphy AE, Schilder BM, Skene NG","Bioinformatics","2021","Article","https://doi.org/10.1093/bioinformatics/btab665"
"Fine-mapping of Parkinson's disease susceptibility loci identifies putative causal variants","Schilder BM, Raj T","Human Molecular Genetics","2021","Article","https://doi.org/10.1093/hmg/ddab294"
"Geneshot: search engine for ranking genes from arbitrary text queries","Lachmann A, Schilder BM, Wojciechowicz ML, Torre D, Kuleshov MV, Keenan AB, Ma'ayan A","Nucleic Acids Research","2019","Article","https://doi.org/10.1093/nar/gkz393"
"Correcting gradient-based interpretations of deep neural networks for genomics","Majdandzic A, Rajesh C, Koo PK","Genome Biology","2023","Article","https://doi.org/10.1186/s13059-023-02956-3"
"Improving representations of genomic sequence motifs in convolutional networks with exponential activations","Koo PK, Ploenzke M","Nature Machine Intelligence","2021","Article","https://doi.org/10.1038/s42256-020-00291-x"
"Genetic analysis of the human microglial transcriptome across brain regions, aging and disease pathologies","de Paiva Lopes K, Snijders GJL, Humphrey J, Allan A, Sneeboer M, Navarro E, Schilder BM, et al.","Nature Genetics","2022","Article","https://doi.org/10.1038/s41588-021-00976-y"
